epoch,object,sep,sep_err,pa,pa_err,rv,rv_err
56942.3,1,606.5,7.0,180.04,0.62,,
57031.2,1,606.6,6.4,180.52,0.58,,
57289.4,1,604.0,7.0,184.9,0.9,,
50366.475,0,,,,,-0.54103,0.00123
50418.329,0,,,,,-0.40053,0.00206
50462.252,0,,,,,-0.24094,0.0011
50689.604,0,,,,,0.37292,0.00117
50784.271,0,,,,,0.46223,0.00133
50806.227,0,,,,,0.48519,0.00103
50837.217,0,,,,,0.49395,0.00117
50838.201,0,,,,,0.49751,0.00112
50839.211,0,,,,,0.50187,0.00112
51009.62,0,,,,,0.53355,0.00135
51011.548,0,,,,,0.53164,0.00128
51013.602,0,,,,,0.53629,0.0016
51050.491,0,,,,,0.52154,0.00468
51170.248,0,,,,,0.50757,0.0014
51367.585,0,,,,,0.47678,0.00131
51409.527,0,,,,,0.46147,0.00523
51543.244,0,,,,,0.44311,0.00152
51550.229,0,,,,,0.43286,0.00147
51755.551,0,,,,,0.39329,0.00213
51899.284,0,,,,,0.36457,0.00163
52097.626,0,,,,,0.32986,0.00157
52488.542,0,,,,,0.26687,0.0015
52572.312,0,,,,,0.25035,0.00195
52987.228,0,,,,,0.19466,0.00238
52988.186,0,,,,,0.18469,0.00194
53238.456,0,,,,,0.16892,0.00134
53303.403,0,,,,,0.16769,0.00112
53339.265,0,,,,,0.16069,0.00119
53724.274,0,,,,,0.11302,0.00103
53724.276,0,,,,,0.11605,0.00112
54717.455,0,,,,,0.00984,0.00123
54718.508,0,,,,,0.01242,0.00115
54719.51,0,,,,,0.01572,0.00123
54720.47,0,,,,,0.01534,0.00113
54722.401,0,,,,,0.01479,0.00127
54723.47,0,,,,,0.01422,0.00122
54724.474,0,,,,,0.01169,0.0012
54725.383,0,,,,,0.01383,0.00113
54726.505,0,,,,,0.0195,0.00123
54727.452,0,,,,,0.0175,0.00113
55014.62,0,,,,,-0.00636,0.00141
55015.624,0,,,,,-0.00409,0.00138
55016.624,0,,,,,-0.00566,0.00121
55048.525,0,,,,,-0.01975,0.00124
55076.584,0,,,,,-0.01614,0.00128
55077.594,0,,,,,-0.01303,0.00126
55134.464,0,,,,,-0.01689,0.00136
55198.254,0,,,,,-0.02885,0.0012
55425.584,0,,,,,-0.04359,0.00125
55522.379,0,,,,,-0.0512,0.0013
55806.547,0,,,,,-0.07697,0.0013
56148.55,0,,,,,-0.10429,0.00128
56319.201,0,,,,,-0.1102,0.00128
56327.208,0,,,,,-0.11332,0.00149
56507.645,0,,,,,-0.12324,0.00133
56912.534,0,,,,,-0.17085,0.00113
