# Table 1 of Nielsen+ 2020
epoch,object,sep,sep_err,pa,pa_err,rv,rv_err
54781,1,210.0,27.0,211.49,1.9,,
52953,1,413.0,22.0,34,4,,
55129,1,299.0,14.0,211,3,,
55194,1,306.0,9.0,212.1,1.7,,
55296,1,346.0,7.0,209.9,1.2,,
55467,1,383.0,11.0,210.3,1.7,,
55516,1,387.0,8.0,212.4,1.4,,
55517,1,390.0,13.0,212,2,,
55593,1,408.0,9.0,211.1,1.5,,
55646,1,426.0,13.0,210.1,1.8,,
55168,1,339.0,10.0,209.2,1.7,,
55168,1,323.0,10.0,209.3,1.8,,
55555,1,407.0,5.0,212.8,1.4,,
55854,1,452.0,3.0,211.6,0.4,,
55854,1,455.0,5.0,211.9,0.6,,
56015,1,447.0,3.0,210.8,0.4,,
56015,1,448.0,5.0,211.8,0.6,,
56263,1,461.0,14.0,211.9,1.2,,
56265,1,470.0,10.0,212.0,1.2,,
56612,1,430.8,1.5,212.43,0.17,,
56612,1,429.1,1.0,212.58,0.15,,
56614,1,430.2,1.0,212.46,0.15,,
56636,1,425.5,1.0,212.51,0.15,,
56636,1,424.4,1.0,212.85,0.15,,
56637,1,425.3,1.0,212.47,0.16,,
56969,1,356.2,1.0,213.02,0.19,,
57114,1,317.3,0.9,213.13,0.20,,
57332,1,250.5,1.5,214.14,0.34,,
57361,1,240.2,1.1,213.58,0.34,,
57378,1,234.5,1.0,213.81,0.30,,
57408,1,222.6,2.1,214.84,0.44,,
# 56999,1,350.51,3.20,212.60,0.66 # removing SPHERE epochs as in Nielsen+ 2020 Case 3
# 57058,1,332.42,1.70,212.58,0.35 # this data point different from value in Nielsen+ 2020
# 57296,1,262.02,1.78,213.02,0.48
# 57356,1,242.05,2.51,213.30,0.74
# 57382,1,234.84,1.80,213.79,0.51
# 57407,1,227.23,1.55,213.15,0.46
# 57473,1,203.66,1.42,213.90,0.46
# 57494,1,197.49,2.36,213.88,0.83
# 57647,1,142.36,2.34,214.62,1.10
# 57675,1,134.50,2.46,215.50,1.22
# 57710,1,127.12,6.44,215.80,3.37
# 58378,1,140.46,3.12,29.71,1.67
57046,1,335.5,0.9,212.88,0.20,,
58382,1,141.9,5.3,28.16,1.82,,
58440,1,164.5,1.8,28.64,0.70,,
56643,1,,,,,-15.4,1.7
