Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-09-24T03:17:43.690,1,0.003366090442748648,-2.300433958482974,FoVP,-0.7177768121570808,0.716584607472628,2456924.6385198794
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-09-24T05:04:17.895,6,-0.0017592745186114803,-2.2989421430856525,FoVF,-0.7179415637921202,0.7163662372846105,2456924.712528852
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-10-01T18:42:06.590,7,-0.00650994606000498,2.541359236566953,FoVP,0.7116794191056144,0.7166374323350725,2456932.280652986
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-10-01T20:28:40.824,5,-0.001445323169629156,2.543117372208244,FoVF,0.7112554019851087,0.7169776440973757,2456932.3546622447
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-11-03T08:05:49.312,4,7.379734901303453E-4,-1.6391612276689718,FoVF,-0.6803572545190627,0.7088631454338691,2456964.839525243
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2014-12-07T01:43:30.212,7,-0.004849959376093157,-2.5453289312449967,FoVF,0.6523701313098679,0.7030559574218078,2456998.5744054615
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2015-01-05T23:43:47.075,2,0.0025747885979415836,-0.4942730752652883,FoVP,-0.6582104476275792,0.7000839976813767,2457028.491161975
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2015-01-06T01:30:21.281,6,-0.0020271807631072774,-0.49115917840781126,FoVF,-0.6594673585899907,0.6989435391249444,2457028.565168211
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2015-02-07T11:22:03.024,7,-0.006295401625795344,-1.4403312052347343,FoVP,0.6844806580297031,0.7039768380081998,2457060.975515688
bet Pic,1.5153157780177544,-0.8912787619608181,05:47:17.088,-51:03:59.441,2015-02-07T13:08:37.264,5,-0.0012850130662692158,-1.438006139309293,FoVF,0.683776941405708,0.7047219521301625,2457061.0495214257
