Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2014-09-07T20:02:55.945,1,0.004261441385324073,-2.419338622854937,FoVP,-0.7139807546396543,0.721507425468232,2456908.3357978356
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2014-09-07T21:49:30.161,5,-9.544894992248997E-4,-2.4202204741216615,FoVF,-0.7136305588529797,0.7219838864565272,2456908.409812096
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2014-10-11T19:00:12.343,4,0.001844990104153869,-2.6989244787331725,FoVF,-0.5481129956895733,0.715562776608969,2456942.295425042
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-02-26T06:30:37.544,4,-0.0010163849352416324,-0.7842990960205769,FoVP,0.6685663841239335,0.7038981947222167,2457079.7735618614
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-02-26T08:17:11.748,2,0.0043439215473310136,-0.7831533431631229,FoVF,0.6677295026077388,0.7051080241324862,2457079.8475617887
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-03-28T07:55:49.189,1,0.005457876467591252,0.588823806199045,FoVF,-0.6552996516448154,0.7077481533077975,2457109.8298096643
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-03-28T12:09:29.205,7,-0.005608569703553211,0.5823156230017611,FoVP,-0.6507356749560859,0.7108871281275355,2457110.005950688
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-04-18T06:12:04.293,7,-0.006533791344582265,-0.7680639806381448,FoVP,0.3898713902485748,0.7177846905785434,2457130.7559392946
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-04-18T07:58:38.435,6,-0.003103768767807712,-0.7721436609584973,FoVF,0.3921103718707833,0.7157601708853536,2457130.829939783
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-08-31T06:43:00.914,1,0.004865564971320537,-2.4058116280271005,FoVP,-0.6878085837994734,0.7220322118950759,2457265.7795853484
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-08-31T08:29:35.136,5,-1.3801332074555073E-4,-2.407470299670282,FoVF,-0.6870095371493553,0.723135527289165,2457265.8535995437
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-10-21T06:18:54.018,1,0.004471299965674476,-2.8968391351998934,FoVP,-0.40082547260616475,0.7152650870733186,2457316.7675270303
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2015-10-21T08:05:28.195,4,5.314581390129491E-4,-2.893116607845149,FoVF,-0.40346347720117237,0.7129338131237428,2457316.84153943
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T02:22:49.398,7,-0.006579356942279041,0.236145041021683,FoVP,-0.03834907693935221,0.694428649438883,2457411.6042917464
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T08:23:03.958,6,-0.0038725920968205717,0.2546928790991775,FoVP,-0.052999549896909234,0.6964123003569312,2457411.85444359
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T10:09:38.234,6,-0.0031575038856307617,0.2601916339504578,FoVF,-0.057358402889244674,0.6969374272071714,2457411.9284464642
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T14:23:18.360,4,-0.0016147811680190876,0.27329939400961767,FoVP,-0.06777602079582802,0.6980729604950042,2457412.1045935275
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T16:09:52.595,5,-0.0010341575185062362,0.27881361290059464,FoVF,-0.07216954405264611,0.6985016850502285,2457412.178595899
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T20:23:32.633,3,1.8556436156794566E-4,0.2919545529356563,FoVP,-0.08266471202294118,0.699406370240556,2457412.3547418835
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-24T22:10:06.835,4,6.292818786538373E-4,0.29748114711269064,FoVF,-0.08708867642283567,0.6997375811664404,2457412.4287438514
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T04:10:20.983,4,0.0018248394530124305,0.3161833991809132,FoVF,-0.10210103063515528,0.7006418920781364,2457412.6788906604
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T08:24:00.906,2,0.0023818943010621763,0.32936757429373015,FoVP,-0.1127198448698961,0.7010784128387068,2457412.8550352077
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T10:10:35.068,3,0.0025450006018311066,0.33490894028439583,FoVF,-0.1171911823082803,0.7012122611944958,2457412.9290366755
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T14:24:14.967,2,0.00276305700835884,0.3481023527273083,FoVP,-0.12785522427154672,0.7014127131565167,2457413.1051808777
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T16:10:49.123,3,0.0027827504038084585,0.3536457808391573,FoVF,-0.13234316126613765,0.7014472524242198,2457413.179182254
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T20:24:29.019,2,0.002657189307499812,0.3668396702564774,FoVP,-0.1430409223748212,0.7014112029115603,2457413.355326366
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-25T22:11:03.178,3,0.0025316119796161395,0.37238140551992394,FoVF,-0.14754057165499984,0.7013463982839263,2457413.429327759
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T02:24:43.093,2,0.002058215448561157,0.3855666646156358,FoVP,-0.15826032082384694,0.701074122304188,2457413.605472041
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T04:11:17.266,4,0.0017856834223902193,0.39110281243277567,FoVF,-0.16276672159993388,0.7009102418277547,2457413.67947356
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T08:24:57.222,3,9.606596044898878E-4,0.40427001689142494,FoVP,-0.17349660196053956,0.7004027467082757,2457413.855618272
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T10:11:31.418,4,5.396729360711204E-4,0.40979655614814264,FoVF,-0.1780047614673837,0.7001403707809352,2457413.9296200266
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T14:25:11.439,4,-6.403204596819836E-4,0.42293599705504864,FoVP,-0.18873289084544134,0.6993994168962655,2457414.1057654307
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T16:11:45.665,5,-0.0012110681643103644,0.42844879422358995,FoVF,-0.19323782756796007,0.6990394454062332,2457414.179767531
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T20:25:25.773,5,-0.002748902097942923,0.4415505126895518,FoVP,-0.20395240322629904,0.6980675596501031,2457414.3559138877
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-26T22:12:00.041,7,-0.003470514929325013,0.4470453367865934,FoVF,-0.20844919124041658,0.6976112166242967,2457414.4299164424
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-01-27T02:25:40.259,6,-0.005368569191757951,0.46009916042917925,FoVP,-0.2191385960607972,0.6964117005468431,2457414.6060640095
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-03-07T19:39:51.913,3,0.0012121922309560186,-0.8542754870348369,FoVP,0.7041869581442349,0.7060162146074431,2457455.320674432
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-03-07T21:26:26.122,1,0.006665552464438079,-0.8542565304598202,FoVF,0.7040186443066007,0.7063161809805514,2457455.3946742327
